franchise,releases,totalGross,titles,original
Fifty Shades,3,381156240,Fifty Shades of Grey > 02-13-2015 | Fifty Shades Darker > 02-10-2017 | Fifty Shades Freed > 02-09-2018,Fifty Shades of Grey > 02-13-2015
Friday the 13th,12,380637525,Freddy vs. Jason > 08-15-2003 | Friday the 13th > 02-13-2009 | Friday the 13th > 05-09-1980 | Friday the 13th: Part 3 > 08-13-1982 | Friday the 13th: The Final Chapter > 04-13-1984 | Friday the 13th: A New Beginning > 03-22-1985 | Friday the 13th: Part 2 > 04-30-1981 | Friday the 13th Part VI: Jason Lives > 08-01-1986 | Friday the 13th: The New Blood > 05-13-1988 | Jason Goes to Hell > 08-13-1993 | Friday the 13th Part VIII: Jason Takes Manhattan > 07-28-1989 | Jason X > 04-26-2002,Friday the 13th > 05-09-1980
Dune,2,390472188,Dune: Part Two > 03-01-2024 | Dune: Part One > 10-22-2021,Dune: Part One > 10-22-2021
Wreck-It Ralph,2,390514600,Ralph Breaks the Internet > 11-21-2018 | Wreck-It Ralph > 11-02-2012,Wreck-It Ralph > 11-02-2012
National Treasure,2,392973009,National Treasure: Book of Secrets > 12-21-2007 | National Treasure > 11-19-2004,National Treasure > 11-19-2004
Sherlock Holmes,2,395877097,Sherlock Holmes > 12-25-2009 | Sherlock Holmes: A Game of Shadows > 12-16-2011,Sherlock Holmes > 12-25-2009
American Pie,4,409241234,American Pie 2 > 08-10-2001 | American Wedding > 08-01-2003 | American Pie > 07-09-1999 | American Reunion > 04-06-2012,American Pie > 07-09-1999
Independence Day,2,409313554,Independence Day > 07-03-1996 | Independence Day: Resurgence > 06-24-2016,Independence Day > 07-03-1996
Paranormal Activity,6,401348020,Paranormal Activity > 09-25-2009 | Paranormal Activity 3 > 10-21-2011 | Paranormal Activity 2 > 10-22-2010 | Paranormal Activity 4 > 10-19-2012 | Paranormal Activity: The Marked Ones > 01-03-2014 | Paranormal Activity: The Ghost Dimension > 10-23-2015,Paranormal Activity > 09-25-2009
Scream,5,413375472,Scream > 12-20-1996 | Scream 2 > 12-12-1997 | Scream 3 > 02-04-2000 | Scream > 01-14-2022 | Scream 4 > 04-15-2011,Scream > 12-20-1996
Back to the Future,4,419678057,Back to the Future > 07-03-1985 | Back to the Future Part II > 11-22-1989 | Back to the Future Part III > 05-25-1990 | Back To The Future Day > 10-21-2015,Back to the Future > 07-03-1985
Venom,2,427065872,Venom: Let There Be Carnage > 10-01-2021 | Venom > 10-05-2018,Venom > 10-05-2018
The Karate Kid,5,430382220,The Karate Kid > 06-11-2010 | The Karate Kid Part II > 06-20-1986 | The Karate Kid > 06-22-1984 | The Karate Kid Part III > 06-30-1989 | The Next Karate Kid > 08-12-1994,The Karate Kid > 06-22-1984
Hannibal Lecter,5,425277003,Hannibal > 02-09-2001 | The Silence of the Lambs > 02-14-1991 | Red Dragon > 10-04-2002 | Hannibal Rising > 02-09-2007 | Manhunter > 08-15-1986,Manhunter > 08-15-1986
Sing,2,433186415,Sing > 12-21-2016 | Sing 2 > 12-22-2021,Sing > 12-21-2016
Beverly Hills Cop,3,431040426,Beverly Hills Cop > 12-05-1984 | Beverly Hills Cop II > 05-20-1987 | Beverly Hills Cop III > 05-25-1994,Beverly Hills Cop > 12-05-1984
Scary Movie,5,461058392,Scary Movie > 07-07-2000 | Scary Movie 3 > 10-24-2003 | Scary Movie 4 > 04-14-2006 | Scary Movie 2 > 07-04-2001 | Scary Movie V > 04-12-2013,Scary Movie > 07-07-2000
